"accident_year","dev","loss_train","loss_test","delta","premium","deltaf","cal"
1991,1,0.127359077721497,NA,1,0.951185882398001,"paid",1991
1991,2,0.403535145590164,NA,0,0.951185882398001,"os",1992
1991,2,0.315501211256547,NA,1,0.951185882398001,"paid",1992
1991,3,0.24882943784291,NA,0,0.951185882398001,"os",1993
1991,3,0.451956682018825,NA,1,0.951185882398001,"paid",1993
1991,4,0.141760104177638,NA,0,0.951185882398001,"os",1994
1991,4,0.539981041201873,NA,1,0.951185882398001,"paid",1994
1991,5,0.0900638662542969,NA,0,0.951185882398001,"os",1995
1991,5,0.590308032593813,NA,1,0.951185882398001,"paid",1995
1991,6,0.0554592720970537,NA,0,0.951185882398001,"os",1996
1991,6,0.622758217872976,NA,1,0.951185882398001,"paid",1996
1991,7,0.0379750471576166,NA,0,0.951185882398001,"os",1997
1991,7,0.63737947279221,NA,1,0.951185882398001,"paid",1997
1991,8,NA,0.0237176479600142,0,0.951185882398001,"os",1998
1991,8,NA,0.649032431034978,1,0.951185882398001,"paid",1998
1991,9,NA,0.0170533431638213,0,0.951185882398001,"os",1999
1991,9,NA,0.654203012342369,1,0.951185882398001,"paid",1999
1991,10,NA,0.0221090226643814,0,0.951185882398001,"os",2000
1991,10,NA,0.660350259007823,1,0.951185882398001,"paid",2000
1992,1,0.629269320260061,NA,0,1.00440456926185,"os",1992
1992,1,0.109386520103029,NA,1,1.00440456926185,"paid",1992
1992,2,0.440906958261919,NA,0,1.00440456926185,"os",1993
1992,2,0.278502829456993,NA,1,1.00440456926185,"paid",1993
1992,3,0.299223455288834,NA,0,1.00440456926185,"os",1994
1992,3,0.402481879027548,NA,1,1.00440456926185,"paid",1994
1992,4,0.212999224412804,NA,0,1.00440456926185,"os",1995
1992,4,0.487470915480146,NA,1,1.00440456926185,"paid",1995
1992,5,0.113733638461465,NA,0,1.00440456926185,"os",1996
1992,5,0.540095943008704,NA,1,1.00440456926185,"paid",1996
1992,6,0.0805078659861926,NA,0,1.00440456926185,"os",1997
1992,6,0.569118224384078,NA,1,1.00440456926185,"paid",1997
1992,7,NA,0.0631098174018786,0,1.00440456926185,"os",1998
1992,7,NA,0.584361864090313,1,1.00440456926185,"paid",1998
1992,8,NA,0.0391719409787719,0,1.00440456926185,"os",1999
1992,8,NA,0.597048938594559,1,1.00440456926185,"paid",1999
1992,9,NA,0.0416040292233595,0,1.00440456926185,"os",2000
1992,9,NA,0.603588766433352,1,1.00440456926185,"paid",2000
1992,10,NA,0.0393442936890183,0,1.00440456926185,"os",2001
1992,10,NA,0.607121996993403,1,1.00440456926185,"paid",2001
1993,1,0.652383733734213,NA,0,1.14353150703295,"os",1993
1993,1,0.11291017551251,NA,1,1.14353150703295,"paid",1993
1993,2,0.489309344389441,NA,0,1.14353150703295,"os",1994
1993,2,0.260070664611201,NA,1,1.14353150703295,"paid",1994
1993,3,0.382374062832138,NA,0,1.14353150703295,"os",1995
1993,3,0.366048431111579,NA,1,1.14353150703295,"paid",1995
1993,4,0.208968086023153,NA,0,1.14353150703295,"os",1996
1993,4,0.447370184896157,NA,1,1.14353150703295,"paid",1996
1993,5,0.16234667790151,NA,0,1.14353150703295,"os",1997
1993,5,0.485862290184513,NA,1,1.14353150703295,"paid",1997
1993,6,NA,0.113379357890403,0,1.14353150703295,"os",1998
1993,6,NA,0.5120790524431,1,1.14353150703295,"paid",1998
1993,7,NA,0.0791481946053602,0,1.14353150703295,"os",1999
1993,7,NA,0.535825425854822,1,1.14353150703295,"paid",1999
1993,8,NA,0.0534772159292205,0,1.14353150703295,"os",2000
1993,8,NA,0.544117506247786,1,1.14353150703295,"paid",2000
1993,9,NA,0.0456543179141492,0,1.14353150703295,"os",2001
1993,9,NA,0.553539454407921,1,1.14353150703295,"paid",2001
1993,10,NA,0.0402635081436656,0,1.14353150703295,"os",2002
1993,10,NA,0.55456399551883,1,1.14353150703295,"paid",2002
1994,1,0.597814950640099,NA,0,1.06077348066298,"os",1994
1994,1,0.107184235472103,NA,1,1.06077348066298,"paid",1994
1994,2,0.446786100711434,NA,0,1.06077348066298,"os",1995
1994,2,0.257504524258644,NA,1,1.06077348066298,"paid",1995
1994,3,0.308779455556939,NA,0,1.06077348066298,"os",1996
1994,3,0.368528395109013,NA,1,1.06077348066298,"paid",1996
1994,4,0.231144134741519,NA,0,1.06077348066298,"os",1997
1994,4,0.436435362946082,NA,1,1.06077348066298,"paid",1997
1994,5,NA,0.179457471968747,0,1.06077348066298,"os",1998
1994,5,NA,0.467612053199537,1,1.06077348066298,"paid",1998
1994,6,NA,0.155127014372301,0,1.06077348066298,"os",1999
1994,6,NA,0.484110037630342,1,1.06077348066298,"paid",1999
1994,7,NA,0.084232599557628,0,1.06077348066298,"os",2000
1994,7,NA,0.49904727251836,1,1.06077348066298,"paid",2000
1994,8,NA,0.0609841339755068,0,1.06077348066298,"os",2001
1994,8,NA,0.511561994312361,1,1.06077348066298,"paid",2001
1994,9,NA,0.0492162739259075,0,1.06077348066298,"os",2002
1994,9,NA,0.523435181018222,1,1.06077348066298,"paid",2002
1994,10,NA,0.0451851355362563,0,1.06077348066298,"os",2003
1994,10,NA,0.529074944703505,1,1.06077348066298,"paid",2003
1995,1,0.545505903080326,NA,0,0.744286028897804,"os",1995
1995,1,0.120168139643996,NA,1,0.744286028897804,"paid",1995
1995,2,0.466089604259027,NA,0,0.744286028897804,"os",1996
1995,2,0.302613058590346,NA,1,0.744286028897804,"paid",1996
1995,3,0.33834752051476,NA,0,0.744286028897804,"os",1997
1995,3,0.421737506822295,NA,1,0.744286028897804,"paid",1997
1995,4,NA,0.250438063138543,0,0.744286028897804,"os",1998
1995,4,NA,0.503068835757442,1,0.744286028897804,"paid",1998
1995,5,NA,0.198962053678294,0,0.744286028897804,"os",1999
1995,5,NA,0.546951750816282,1,0.744286028897804,"paid",1999
1995,6,NA,0.121010752894089,0,0.744286028897804,"os",2000
1995,6,NA,0.579545563353984,1,0.744286028897804,"paid",2000
1995,7,NA,0.0847496576883671,0,0.744286028897804,"os",2001
1995,7,NA,0.60210461809512,1,0.744286028897804,"paid",2001
1995,8,NA,0.0688070319905781,0,0.744286028897804,"os",2002
1995,8,NA,0.617309957199077,1,0.744286028897804,"paid",2002
1995,9,NA,0.0585137451286421,0,0.744286028897804,"os",2003
1995,9,NA,0.6300353323056,1,0.744286028897804,"paid",2003
1995,10,NA,0.0461330754426113,0,0.744286028897804,"os",2004
1995,10,NA,0.641640414795523,1,0.744286028897804,"paid",2004
1996,1,0.541244961077013,NA,0,0.609420033130021,"os",1996
1996,1,0.126334536610588,NA,1,0.609420033130021,"paid",1996
1996,2,0.399350804791405,NA,0,0.609420033130021,"os",1997
1996,2,0.301368289016345,NA,1,0.609420033130021,"paid",1997
1996,3,NA,0.275840937598744,0,0.609420033130021,"os",1998
1996,3,NA,0.421976885586526,1,0.609420033130021,"paid",1998
1996,4,NA,0.196242710916629,0,0.609420033130021,"os",1999
1996,4,NA,0.494968258375863,1,0.609420033130021,"paid",1999
1996,5,NA,0.143081474956194,0,0.609420033130021,"os",2000
1996,5,NA,0.546932600515143,1,0.609420033130021,"paid",2000
1996,6,NA,0.113896416021142,0,0.609420033130021,"os",2001
1996,6,NA,0.578846577362429,1,0.609420033130021,"paid",2001
1996,7,NA,0.0852667158191063,0,0.609420033130021,"os",2002
1996,7,NA,0.608012485996342,1,0.609420033130021,"paid",2002
1996,8,NA,0.0602564225322443,0,0.609420033130021,"os",2003
1996,8,NA,0.633922843436713,1,0.609420033130021,"paid",2003
1996,9,NA,0.0476746746842594,0,0.609420033130021,"os",2004
1996,9,NA,0.645585376830051,1,0.609420033130021,"paid",2004
1996,10,NA,0.0416327546750673,0,0.609420033130021,"os",2005
1996,10,NA,0.653264647586583,1,0.609420033130021,"paid",2005
1997,1,0.390656568074533,NA,0,0.46010513515325,"os",1997
1997,1,0.0897383111349426,NA,1,0.46010513515325,"paid",1997
1997,2,NA,0.249289045070234,0,0.46010513515325,"os",1998
1997,2,NA,0.227266198760976,1,0.46010513515325,"paid",1998
1997,3,NA,0.153671591485776,0,0.46010513515325,"os",1999
1997,3,NA,0.327383973112977,1,0.46010513515325,"paid",1999
1997,4,NA,0.162557331214033,0,0.46010513515325,"os",2000
1997,4,NA,0.380382431513736,1,0.46010513515325,"paid",2000
1997,5,NA,0.126765418386204,0,0.46010513515325,"os",2001
1997,5,NA,0.42786560318661,1,0.46010513515325,"paid",2001
1997,6,NA,0.108879037122859,0,0.46010513515325,"os",2002
1997,6,NA,0.463801143272978,1,0.46010513515325,"paid",2002
1997,7,NA,0.080957898062947,0,0.46010513515325,"os",2003
1997,7,NA,0.486178270153298,1,0.46010513515325,"paid",2003
1997,8,NA,0.0626023344217088,0,0.46010513515325,"os",2004
1997,8,NA,0.504552984095675,1,0.46010513515325,"paid",2004
1997,9,NA,0.0486704903434607,0,0.46010513515325,"os",2005
1997,9,NA,0.519135938412632,1,0.46010513515325,"paid",2005
1997,10,NA,0.0436818368968852,0,0.46010513515325,"os",2006
1997,10,NA,0.530243113072953,1,0.46010513515325,"paid",2006
